"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 13, 2015",Montana,"Cascade (county)","Paul Creek Lane",0,1,N/A
"November 13, 2015","New York",Webster,"Lake Road",0,1,N/A
"November 13, 2015",California,Stockton,"5600 block of North Pershing Avenue",0,0,N/A
"November 13, 2015",Georgia,Atlanta,"1685 Marietta Boulevard",0,1,N/A
"November 13, 2015",Texas,"San Antonio","400 block of West Baylor Street",1,1,N/A
"November 13, 2015",Kentucky,Louisville,N/A,0,0,N/A
"November 12, 2015",Alaska,Anchorage,"3020 Minnesota Drive",0,0,N/A
"November 12, 2015",Colorado,"Colorado Springs","620 E. Fillmore Street",0,0,N/A
"November 12, 2015",Wisconsin,Superior,"1411 Belknap Street",0,1,N/A
"November 12, 2015",Tennessee,Chattanooga,"3800 block of Fairfax Drive",0,0,N/A
"November 12, 2015","West Virginia","Crab Orchard",N/A,0,1,N/A
"November 12, 2015",Ohio,Columbus,"2359 W Broad St.",0,0,N/A
"November 12, 2015",Georgia,Stockbridge,"1000 block of Rock Quarry Road",0,2,N/A
"November 12, 2015",California,"Los Angeles","1100 block of 55th Street",2,1,N/A
"November 12, 2015","South Carolina","Cherokee (county)","Web Blanton Court",0,0,N/A
"November 12, 2015",Louisiana,Shreveport,"9300 block of New London",0,2,N/A
"November 11, 2015",Ohio,"Columbus (Whitehall)","East Main Street",0,0,N/A
"November 11, 2015","New Hampshire",Manchester,"471 Maple Street",0,0,N/A
"November 11, 2015",Alabama,"Spanish Fort",N/A,0,0,N/A
"November 11, 2015",Georgia,Dacula,"1600 block of Windsong Park Drive",1,0,N/A
"November 11, 2015",Tennessee,Murfreesboro,"Middle Tennessee Boulevard and Broad Street",0,1,N/A
"November 10, 2015","South Carolina",Columbia,"Baysdale Drive",1,0,N/A
"November 10, 2015","South Carolina",Ladson,"Elderwood Drive",1,0,N/A
"November 10, 2015",Florida,Miami,"6000 block of Northwest 2nd Street",0,0,N/A
"November 10, 2015","New York",Syracuse,"209 Delhi Street",0,0,N/A
"November 10, 2015",Missouri,Columbia,"5200 block of Tessa Way",0,0,N/A
"November 9, 2015","New York",Poughkeepsie,"138 Montgomery Street",0,1,N/A
"November 9, 2015",Michigan,Menominee,N/A,1,0,N/A
"November 9, 2015",Arizona,Phoenix,"Interstate 10 and 59th Avenue",0,1,N/A
"November 9, 2015","West Virginia",Logan,N/A,0,2,N/A
"November 9, 2015",Oklahoma,Jay,N/A,0,1,N/A
"November 9, 2015",Florida,"Saint Johns (Julington Creek)","120 Bartram Oaks Walk",0,0,N/A
"November 8, 2015",Kentucky,Louisville,"1400 block of Oakwood Avenue",0,1,N/A
"November 8, 2015",Georgia,Atlanta,"400 block of Holly Drive",1,0,N/A
"November 8, 2015",Georgia,Macon,"928 Gray Highway",1,0,N/A
"November 8, 2015",Washington,Everett,"921 130th St. SW",0,1,N/A
"November 8, 2015",Oklahoma,Tulsa,"300 block of East 27th Court North",1,0,N/A
"November 7, 2015",Alabama,Birmingham,"4600 block of Kingston Avenue",1,1,N/A
"November 7, 2015",California,"Lake Elsinore","53000 block of Beales Street",1,0,N/A
"November 7, 2015",Georgia,"Union City","4520 Jonesboro Road",1,0,N/A
"November 6, 2015",Colorado,Denver,"3300 block of S. Winona Court",1,0,N/A
"November 5, 2015",Washington,Lakewood,"15200 block of Fern Street Southwest",0,0,N/A
"November 5, 2015",Michigan,"Macomb (Macomb Township)","46000 block of Chadsworth",0,0,N/A
"November 5, 2015","South Carolina","Green Sea","Olive Drive",1,0,N/A
"November 5, 2015",Arkansas,"Little Rock","4316 Pine Cone Dr",0,1,N/A
"November 5, 2015",California,"San Diego","10300 block of Moselle Street",0,1,N/A
"November 5, 2015",Florida,Apopka,"Villa Lane",1,0,N/A
"November 5, 2015",Massachusetts,Falmouth,"Round Pound Road",0,0,N/A
"November 5, 2015","New York",Lockport,"Walnut Street",0,0,N/A
"November 4, 2015",Texas,Houston,"2420 Sumpter",0,1,N/A
"November 4, 2015",Wisconsin,Milwaukee,"27th and Galena",0,0,N/A
"November 4, 2015",Louisiana,"New Orleans",N/A,0,0,N/A
"November 4, 2015",Louisiana,Monroe,"922 Atkinson St",0,1,N/A
"November 3, 2015",Arizona,Glendale,"67th Avenue and Bethany Home Rd",1,0,N/A
"November 3, 2015","North Carolina",Charlotte,"6000 block of Matlea Court",0,1,N/A
"November 3, 2015",Alabama,"Birmingham (Forestdale)","2800 block of Pebble Creek Parkway",1,0,N/A
"November 3, 2015",Wisconsin,Milwaukee,"8741 North Granville Road",0,1,N/A
"November 2, 2015",Florida,Palmetto,"3824 US 41",1,0,N/A
"November 2, 2015","North Carolina","Winston Salem (Winston-salem)","1000 Hanes Mall Blvd",1,0,N/A
"November 2, 2015","New York",Utica,"Chestnut and Francis Street",0,0,N/A
"November 2, 2015",Pennsylvania,Gibsonia,"5950 Valencia Rd",0,0,N/A
"November 2, 2015",Texas,Cypress,"18600 block of Oden Trace Dr",2,0,N/A
"November 2, 2015",Texas,"New Braunfels","1400 block of East Zipp Rd",0,1,N/A
"November 2, 2015",Oklahoma,Springer,"1700 block of State Highway 77",0,1,N/A
"November 1, 2015",Massachusetts,Norton,"Juniper Road",0,0,N/A
"November 1, 2015",Texas,"College Station","3500 block of Kenyon Drive",0,0,N/A
"November 1, 2015",Colorado,Thornton,"3351 E. 120th Avenue",1,0,N/A
"November 1, 2015",Texas,"San Antonio","3700 block of Wurzbach Road",0,2,N/A
"October 31, 2015",Illinois,Chicago,"2701 W. 51st St.",1,0,N/A
"October 31, 2015",Pennsylvania,Reading,"1054 Greenwich St",2,0,N/A
"October 31, 2015",Massachusetts,Lowell,"300 block of Walker Street",0,1,N/A
"October 31, 2015",California,Bellflower,"16310 Bellflower Blvd.",0,0,N/A
"October 31, 2015",Texas,"Harris (county)",Lockridge,0,1,N/A
